City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,talnakh,69.4865,88.3972,21.77,68,99,1.76,RU,1690178400
1,sumbe,-11.2061,13.8437,19.56,91,34,0.32,AO,1690178400
2,tarawa,1.419,172.984,30.74,70,68,4.15,KI,1690178400
3,borovsk,55.2064,36.4861,13.41,93,67,2.89,RU,1690178400
4,blackmans bay,-43.0167,147.3167,13.23,64,99,4.92,AU,1690178400
5,yuzhno-kurilsk,44.0306,145.8556,17.59,94,100,1.26,RU,1690178400
6,rotonda west,26.8837,-82.2901,28.6,85,33,1.83,US,1690178400
7,bethel,41.3712,-73.414,20.33,79,12,0.73,US,1690178400
8,west island,-12.1568,96.8225,25.75,81,79,7.58,CC,1690178400
9,bilibino,68.0546,166.4372,15.63,70,100,0.49,RU,1690178400
10,iqaluit,63.7506,-68.5145,5.11,84,45,4.33,CA,1690178400
11,port-aux-francais,-49.35,70.2167,6.09,95,100,18.0,TF,1690178400
12,grytviken,-54.2811,-36.5092,-5.15,80,41,4.43,GS,1690178400
13,chimoio,-19.1164,33.4833,17.67,87,0,2.08,MZ,1690178400
14,port elizabeth,-33.918,25.5701,11.51,77,8,6.11,ZA,1690178400
15,olonkinbyen,70.9221,-8.7187,4.53,94,100,5.69,SJ,1690178400
16,ghat,24.9647,10.1728,30.95,11,80,1.2,LY,1690178400
17,gadzhiyevo,69.2551,33.3362,9.74,94,100,5.18,RU,1690178400
18,tazacorte,28.629,-17.9293,21.67,76,4,6.24,ES,1690178400
19,waitangi,-43.9535,-176.5597,12.77,94,99,6.82,NZ,1690178400
20,okhotsk,59.3833,143.3,19.69,67,11,4.79,RU,1690178400
21,edinburgh of the seven seas,-37.0676,-12.3116,13.53,78,70,12.49,SH,1690178400
22,murzuq,25.9155,13.9184,30.03,16,40,4.2,LY,1690178400
23,pornic,47.1167,-2.1,17.61,90,95,7.67,FR,1690178400
24,ribeira grande,38.5167,-28.7,22.49,83,28,3.18,PT,1690178400
25,carnarvon,-24.8667,113.6333,22.85,29,4,6.36,AU,1690178400
26,guadalajara,20.6667,-103.3333,18.54,90,100,0.71,MX,1690178400
27,anadyr,64.75,177.4833,11.78,89,100,5.75,RU,1690178400
28,yellowknife,62.456,-114.3525,19.18,47,76,2.81,CA,1690178400
29,vila franca do campo,37.7167,-25.4333,21.27,87,26,2.66,PT,1690178400
30,college,64.8569,-147.8028,27.69,51,42,1.4,US,1690178400
31,adamstown,-25.066,-130.1015,20.58,71,90,8.32,PN,1690178400
32,callao,-12.0667,-77.15,20.4,77,79,5.48,PE,1690178400
33,atafu village,-8.5421,-172.5159,28.91,76,13,7.57,TK,1690178400
34,north bay,46.3168,-79.4663,18.73,74,26,2.17,CA,1690178400
35,margaret river,-33.95,115.0667,17.91,61,29,8.7,AU,1690178400
36,puerto ayora,-0.7393,-90.3518,24.72,84,21,2.87,EC,1690178400
37,albany,42.6001,-73.9662,18.75,79,18,0.9,US,1690178400
38,soure,-0.7167,-48.5233,26.13,82,17,3.44,BR,1690178400
39,avarua,-21.2078,-159.775,25.53,81,13,8.01,CK,1690178400
40,ushuaia,-54.8,-68.3,-3.54,83,5,1.76,AR,1690178400
41,ust-nera,64.5667,143.2,21.12,42,98,2.52,RU,1690178400
42,arraial do cabo,-22.9661,-42.0278,20.88,89,0,8.19,BR,1690178400
43,aktau,43.65,51.2,30.12,50,12,2.93,KZ,1690178400
44,quellon,-43.1167,-73.6167,6.22,92,100,6.63,CL,1690178400
45,tomball,30.0972,-95.6161,28.09,72,29,1.23,US,1690178400
46,magdagachi,53.45,125.8,29.32,38,94,2.4,RU,1690178400
47,kolonia,50.9333,6.95,18.07,84,47,3.11,DE,1690178400
48,belmonte,-15.8631,-38.8828,22.5,82,42,3.51,BR,1690178400
49,magadan,59.5667,150.8,20.02,60,73,6.02,RU,1690178400
50,castillos,-34.1667,-53.8333,10.7,76,100,4.4,UY,1690178400
51,susuman,62.7833,148.1667,16.73,49,64,1.39,RU,1690178400
52,pacific grove,36.6177,-121.9166,14.46,85,4,2.28,US,1690178400
53,brisas de zicatela,15.8369,-97.0419,27.77,83,81,2.13,MX,1690178400
54,puerto natales,-51.7236,-72.4875,-5.22,94,72,1.22,CL,1690178400
55,utrik,11.2278,169.8474,28.69,77,91,7.1,MH,1690178400
56,port alfred,-33.5906,26.891,12.41,77,17,8.14,ZA,1690178400
57,pul-e khumri,35.9446,68.7151,37.28,14,9,1.9,AF,1690178400
58,alice springs,-23.7,133.8833,14.88,40,2,10.96,AU,1690178400
59,columbia,34.0007,-81.0348,23.3,89,59,2.09,US,1690178400
60,dryden,49.7833,-92.7503,15.74,59,1,1.41,CA,1690178400
61,iskateley,67.6803,53.1512,19.4,78,100,3.23,RU,1690178400
62,fale old settlement,-9.3852,-171.2468,28.83,76,12,6.92,TK,1690178400
63,dolores,-36.3132,-57.6792,7.77,70,100,4.19,AR,1690178400
64,hawaiian paradise park,19.5933,-154.9731,25.01,86,92,3.08,US,1690178400
65,kapa'a,22.0752,-159.319,25.57,86,72,5.55,US,1690178400
66,tindouf,27.6711,-8.1474,29.74,33,8,3.86,DZ,1690178400
67,keflavik,64.0049,-22.5624,10.84,96,75,1.9,IS,1690178400
68,tazovsky,67.4667,78.7,19.03,73,1,2.37,RU,1690178400
69,lethem,3.3803,-59.7968,24.61,87,100,2.22,GY,1690178400
